sampling_strategy,feat_selector,value_selector,new model - orig_test_set accuracy,new model - mw_test_set - accuracy,evasions - success - percent
cosine_similarity,combined_shap,combined_shap,99.94746519569216,17.248927414412048,5.594956658786446
cosine_similarity,shap_largest_abs,argmin_Nv_sum_abs_shap,99.94746519569216,79.3538219070134,17.57289204097715
cosine_similarity,shap_largest_abs,min_population_new,99.95622099641012,3.2659136678049205,6.382978723404255
distribution_based_distance,combined_shap,combined_shap,99.9649767971281,4.955783206374223,16.907451186410995
distribution_based_distance,shap_largest_abs,argmin_Nv_sum_abs_shap,99.97373259784608,0.9193590753874442,96.0073548726031
distribution_based_distance,shap_largest_abs,min_population_new,99.98248839856404,0.0612906050258296,9.34243936608003
feature_based_distance,combined_shap,combined_shap,99.9299535942562,16.5834865598459,5.962700288941424
feature_based_distance,shap_largest_abs,argmin_Nv_sum_abs_shap,99.93870939497415,62.096138691883375,34.830575256107174
feature_based_distance,shap_largest_abs,min_population_new,99.94746519569216,3.152088258471237,6.25164171263462
jaccard_distance,combined_shap,combined_shap,99.9649767971281,17.66920584887488,5.708782068120129
jaccard_distance,shap_largest_abs,argmin_Nv_sum_abs_shap,99.94746519569216,66.8330268803082,30.09368706768234
jaccard_distance,shap_largest_abs,min_population_new,99.9649767971281,3.0382628491375536,6.382978723404255
mahalanobis_distance,combined_shap,combined_shap,99.95622099641012,14.070571753786885,8.326766482794852
mahalanobis_distance,shap_largest_abs,argmin_Nv_sum_abs_shap,99.93870939497415,41.73014622187199,55.19656772611855
mahalanobis_distance,shap_largest_abs,min_population_new,99.97373259784608,0.7617546624638823,8.641975308641975
random,combined_shap,combined_shap,99.95622099641012,15.821731897382016,6.715699150687331
random,shap_largest_abs,argmin_Nv_sum_abs_shap,99.9649767971281,70.86945101129498,26.05726293669556
random,shap_largest_abs,min_population_new,99.95622099641012,3.353471674984678,6.059014096839157
shap_contribution_distance,combined_shap,combined_shap,99.93870939497415,3.7212153051396553,18.11575168549164
shap_contribution_distance,shap_largest_abs,argmin_Nv_sum_abs_shap,99.93870939497415,22.826372471762543,74.10034147622801
shap_contribution_distance,shap_largest_abs,min_population_new,99.95622099641012,0.3677436301549776,9.03598634095088
wasserstein_distance,combined_shap,combined_shap,99.95622099641012,14.552140793275544,7.635058226074774
wasserstein_distance,shap_largest_abs,argmin_Nv_sum_abs_shap,99.95622099641012,44.61956045880396,52.30715348918659
wasserstein_distance,shap_largest_abs,min_population_new,99.9649767971281,1.6723579371333508,7.740127834690483
